ID,CompanyName,Title,CompanyLocation,Salary,Summary
https://kr.indeed.com/viewjob?jk=08546574c6378e02,시니어앤파트너즈,"[선릉역] 서버개발,백엔드(앱,웹,AWS,Python)",서울 강남구,,"폴리오) 사진부착, 이직사유, 최종연봉, 희망연봉, 출근가능일 기재 [선릉역] 서버개발,백엔드(앱,웹,AWS, Python) 회사개요채용사는 2013년 6월에 카이스트 연구실 창업을 통해 설립된 스타트업으로, NIRS(Near..."
https://kr.indeed.com/viewjob?jk=329e2b0216072240,크라우드웍스,[크라우드웍스] NLP 엔지니어,서울 강남구,,튜닝- 최신연구결과 (SOTA) 지속 검토 및 활용2. 이런 경험과 역량을 가진 분을 찾고 있습니다!- Python/huggingface 기반 개발이 가능하신 분- 자연어처리 모델 모니터링 및 튜닝이 가능하신 분 - Git...
https://kr.indeed.com/viewjob?jk=1ddabedf5262b80f,현대건설,2023년 현대건설 R&D 분야 전문인력 선발,서울 종로구,,"관련 경력자 로봇 관련 기술개발 프로젝트 수행 유경험자 우대사항 로봇 운영 환경(ROS, Linux, Python, C++ 등) 숙련자 건설로보틱스, 3D프린팅 등 건설 자동화 프로젝트 유경험자 빅데이터/AI 건설..."
https://kr.indeed.com/viewjob?jk=1eeb4f006adf13ba,블록스퀘어서울,"웹개발자 백엔드&서버개발(HTML·DHTML·mHTML, JAVA 외) 신입/경력 정규직",서울 서초구,,통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
https://kr.indeed.com/viewjob?jk=20d792ea3f7471fa,두나무,Python Backend Engineer,서울 강남구,,"드와 백오피스 시스템 개발다양한 외부 플랫폼에 대한 연동 시스템 개발자격 요건Django, Flask 등 Python 기반 WebFramework 를 활용한 백엔드 개발 경험이 3년 이상 있으신 분RDBMS 에 대한 경험 및..."
https://kr.indeed.com/viewjob?jk=0d1d92bda9e4fd11,십일번가,[11번가] 클라우드 엔지니어,서울 중구,,[11번가] 클라우드 엔지니어 모집 인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>AWS|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=b7223c792bfcbcd4,액스,백엔드 개발자(인턴십),서울 서초구,,주식회사 액스백엔드 개발자(인턴십) 기업소개 인터넷·IT·통신·모바일·게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>AWS
https://kr.indeed.com/viewjob?jk=fd6490c902a88c72,비트리스,"데이터분석, 데이터사이언스 신입/경력",서울 서초구,"연봉 35,000,000원 - 45,000,000원","AI/ML - 데이터 시각화 (R, Tableau, Biorender) - 프로그래밍 언어 (R, Python, Matlab, Java) - 유닉스/리눅스 환경 - SQL, Hadoop - Markup languages..."
https://kr.indeed.com/viewjob?jk=5bb88b636c0aeea6,에스케이스페셜티,DT그룹 인턴사원,서울,,DT그룹 인턴사원 모집 인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
https://kr.indeed.com/viewjob?jk=986af445137757d7,시니어앤파트너즈,"[선릉역] 데이터.신호처리(석박사급,Matlab,Python)",서울 강남구,,"성별무관- 경력 : 경력 1년~5년 (신입지원 가능)- MatLab/ Python을 이용한 시계열 데이터 분석 경험 (생체신호 우대)- 데이터 구조 및... 신호처리(석박사급,Matlab, Python) 회사개요채용사는 카이스트 연구..."
https://kr.indeed.com/viewjob?jk=5939f1161708ca93,사이냅소프트,2023년 상시 [신입/경력] 개발자 중,서울 강서구,,래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>자바스...
https://kr.indeed.com/viewjob?jk=9bfff5e8649d2814,Mercedes-Benz Korea Limited,"SW Developer for MBUX Korean Voice Assistant (Python, Java)",서울,,talented Python/JAVA developer... Platform) which requires knowledge of Python - Manage NLU model through reviewing...
https://kr.indeed.com/viewjob?jk=dc4b5e342e7ae6a0,시스메틱,백엔드 엔지니어 (Python/Javascript),서울 영등포구,,우리 회사를 한 줄로 표현해주세요 (주)시스메틱 백엔드 엔지니어 모집( Python/Javascript) 우리 회사에 대해 4줄 이내로 소개해주세요... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=9614834fe0f9c8e3,두나무,데이터 사이언티스트,서울 강남구,,게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>데이터사이언스|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=b047d88258576e1c,신세계아이앤씨,AI 백엔드 개발부문 인재,서울 중구,,등)- 고객경험(Customer Experience) 솔루션 딜리버리[지원자격: 3년 이상 경력자] - Java 혹은 Python 개발언어 숙련도가 높으신 분- RDBMS SQL 지식 및 개발 경험 보유하신 분- Docker...
https://kr.indeed.com/viewjob?jk=a6c15fbd57a9747d,앤씨앤,딥러닝 영상 인식 Researcher,성남 분당구,,"자격요건ㆍ학력/전공 : 학사 이상ㆍ경력 : 무관ㆍ프로그래밍 언어 : Python, C/C++ㆍ(신입) 배우고자 하는 의지가 강한 사람근무지역(주)앤씨... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=441c717c2b82b684,두나무,디지털 자산 리서치 인턴,서울 강남구,,Full-time 근무 가능하신 분 (재학생/휴학생/졸업생)우대 사항영어 및 기타 외국어에 능통하신 분데이터 관리 툴 사용 경험이 있으신 분 ( Python 등) 마케팅·광고·홍보·조사>조사·분석·통계>설문·리서치·모니터링
